time,canopy.ca_conc,canopy.lai,leaf.d13c,apar,A,d13c,Acg_lim,Ajg_lim,Apg_lim,cb,ci,cc,gb,gs,gi,g,rd,m,G_dir,k_dir,k_diff,k_dirprime,k_diffprime,k_vcmax,lscattering,alb_dir,alb_diff,alb_dir_can,alb_diff_can
        2014,      396.68,           5,f_d13c_lin,    828.1366,    27.73463,    24.68465,           0,    7.143786,           0,           0,    31.95502,    31.95502,         Inf,   0.5394182,         Inf,   0.5394182,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        2015,      398.99,           5,f_d13c_lin,    828.1366,    27.84968,    24.68540,           0,    7.156420,           0,           0,    32.14324,    32.14324,         Inf,   0.5386032,         Inf,   0.5386032,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        2016,      402.35,           5,f_d13c_lin,    828.1366,    28.00630,    24.68667,           0,    9.844393,           0,           0,    32.41737,    32.41737,         Inf,   0.5372476,         Inf,   0.5372476,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1860,      286.42,           3,f_d13c_classical,    690.1394,    15.24794,    20.87481,           0,    0.000000,           0,           0,    22.89441,    22.89441,         Inf,   0.4026540,         Inf,   0.4026540,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1861,      286.45,           3,f_d13c_classical,    690.1394,    15.24953,    20.87495,           0,    0.000000,           0,           0,    22.89681,    22.89681,         Inf,   0.4026538,         Inf,   0.4026538,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1862,      286.51,           3,f_d13c_classical,    690.1394,    15.25270,    20.87524,           0,    0.000000,           0,           0,    22.90161,    22.90161,         Inf,   0.4026534,         Inf,   0.4026534,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1863,      286.59,           3,f_d13c_classical,    690.1394,    15.25694,    20.87561,           0,    0.000000,           0,           0,    22.90800,    22.90800,         Inf,   0.4026528,         Inf,   0.4026528,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1864,      286.71,           3,f_d13c_classical,    690.1394,    15.26329,    20.87617,           0,    0.000000,           0,           0,    22.91759,    22.91759,         Inf,   0.4026520,         Inf,   0.4026520,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1865,      286.85,           3,f_d13c_classical,    690.1394,    15.27070,    20.87683,           0,    0.000000,           0,           0,    22.92879,    22.92879,         Inf,   0.4026509,         Inf,   0.4026509,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1866,      287.02,           3,f_d13c_classical,    690.1394,    15.27970,    20.87763,           0,    0.000000,           0,           0,    22.94238,    22.94238,         Inf,   0.4026495,         Inf,   0.4026495,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1867,      287.21,           3,f_d13c_classical,    690.1394,    15.28974,    20.87852,           0,    0.000000,           0,           0,    22.95757,    22.95757,         Inf,   0.4026479,         Inf,   0.4026479,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1868,      287.42,           3,f_d13c_classical,    690.1394,    15.30085,    20.87950,           0,    0.000000,           0,           0,    22.97435,    22.97435,         Inf,   0.4026461,         Inf,   0.4026461,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1869,      287.64,           3,f_d13c_classical,    690.1394,    15.31248,    20.88052,           0,    0.000000,           0,           0,    22.99194,    22.99194,         Inf,   0.4026441,         Inf,   0.4026441,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1870,      287.87,           3,f_d13c_classical,    690.1394,    15.32463,    20.88159,           0,    0.000000,           0,           0,    23.01033,    23.01033,         Inf,   0.4026418,         Inf,   0.4026418,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1871,      288.11,           3,f_d13c_classical,    690.1394,    15.33731,    20.88271,           0,    0.000000,           0,           0,    23.02952,    23.02952,         Inf,   0.4026394,         Inf,   0.4026394,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1872,      288.34,           3,f_d13c_classical,    690.1394,    15.34945,    20.88378,           0,    0.000000,           0,           0,    23.04791,    23.04791,         Inf,   0.4026370,         Inf,   0.4026370,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1873,      288.56,           3,f_d13c_classical,    690.1394,    15.36106,    20.88480,           0,    0.000000,           0,           0,    23.06549,    23.06549,         Inf,   0.4026345,         Inf,   0.4026345,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1874,      288.77,           3,f_d13c_classical,    690.1394,    15.37214,    20.88577,           0,    0.000000,           0,           0,    23.08228,    23.08228,         Inf,   0.4026321,         Inf,   0.4026321,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1875,      288.97,           3,f_d13c_classical,    690.1394,    15.38269,    20.88669,           0,    0.000000,           0,           0,    23.09827,    23.09827,         Inf,   0.4026297,         Inf,   0.4026297,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1876,      289.16,           3,f_d13c_classical,    690.1394,    15.39270,    20.88757,           0,    0.000000,           0,           0,    23.11346,    23.11346,         Inf,   0.4026273,         Inf,   0.4026273,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1877,      289.35,           3,f_d13c_classical,    690.1394,    15.40272,    20.88845,           0,    0.000000,           0,           0,    23.12865,    23.12865,         Inf,   0.4026249,         Inf,   0.4026249,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1878,      289.55,           3,f_d13c_classical,    690.1394,    15.41325,    20.88937,           0,    0.000000,           0,           0,    23.14464,    23.14464,         Inf,   0.4026223,         Inf,   0.4026223,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1879,      289.77,           3,f_d13c_classical,    690.1394,    15.42484,    20.89038,           0,    0.000000,           0,           0,    23.16223,    23.16223,         Inf,   0.4026193,         Inf,   0.4026193,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1880,      290.00,           3,f_d13c_classical,    690.1394,    15.43695,    20.89144,           0,    0.000000,           0,           0,    23.18062,    23.18062,         Inf,   0.4026161,         Inf,   0.4026161,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
