time,leaf.ca_conc,leaf.d13c,leaf.gstar,A,Acg,Ajg,Apg,cc,ci,ca,rd,lim,gi,gs,gb,g,d13c
        1904,      297.57,f_d13c_lin,f_gstar_f1980,    9.932852,    12.39346,    16.79875,    29.00311,    23.54240,    23.54240,    30.15128,        0.75,           2,         Inf,   0.2436592,         Inf,   0.2436592,    24.38872
        1905,      297.87,f_d13c_lin,f_gstar_f1980,    9.942677,    12.40286,    16.80242,    28.99843,    23.56614,    23.56614,    30.18168,        0.75,           2,         Inf,   0.2436547,         Inf,   0.2436547,    24.38872
        1906,      298.17,f_d13c_lin,f_gstar_f1980,    9.952497,    12.41225,    16.80607,    28.99377,    23.58988,    23.58988,    30.21208,        0.75,           2,         Inf,   0.2436502,         Inf,   0.2436502,    24.38873
        1907,      298.49,f_d13c_lin,f_gstar_f1980,    9.962966,    12.42227,    16.80997,    28.98880,    23.61520,    23.61520,    30.24450,        0.75,           2,         Inf,   0.2436452,         Inf,   0.2436452,    24.38873
        1908,      298.82,f_d13c_lin,f_gstar_f1980,    9.973756,    12.43259,    16.81397,    28.98369,    23.64132,    23.64132,    30.27794,        0.75,           2,         Inf,   0.2436400,         Inf,   0.2436400,    24.38874
        1909,      299.15,f_d13c_lin,f_gstar_f1980,    9.984541,    12.44290,    16.81797,    28.97860,    23.66743,    23.66743,    30.31137,        0.75,           2,         Inf,   0.2436346,         Inf,   0.2436346,    24.38874
        1910,      299.49,f_d13c_lin,f_gstar_f1980,    9.995646,    12.45353,    16.82209,    28.97336,    23.69434,    23.69434,    30.34582,        0.75,           2,         Inf,   0.2436289,         Inf,   0.2436289,    24.38875
        1911,      299.84,f_d13c_lin,f_gstar_f1980,   10.007072,    12.46445,    16.82632,    28.96799,    23.72204,    23.72204,    30.38129,        0.75,           2,         Inf,   0.2436229,         Inf,   0.2436229,    24.38876
        1912,      300.20,f_d13c_lin,f_gstar_f1980,   10.018817,    12.47569,    16.83066,    28.96247,    23.75053,    23.75053,    30.41776,        0.75,           2,         Inf,   0.2436166,         Inf,   0.2436166,    24.38876
        1913,      300.58,f_d13c_lin,f_gstar_f1980,   10.031207,    12.48754,    16.83523,    28.95667,    23.78060,    23.78060,    30.45627,        0.75,           2,         Inf,   0.2436098,         Inf,   0.2436098,    24.38877
        1914,      300.97,f_d13c_lin,f_gstar_f1980,   10.043915,    12.49969,    16.83992,    28.95073,    23.81146,    23.81146,    30.49579,        0.75,           2,         Inf,   0.2436027,         Inf,   0.2436027,    24.38878
        1915,      301.36,f_d13c_lin,f_gstar_f1980,   10.056615,    12.51184,    16.84459,    28.94481,    23.84232,    23.84232,    30.53530,        0.75,           2,         Inf,   0.2435954,         Inf,   0.2435954,    24.38878
        1916,      301.76,f_d13c_lin,f_gstar_f1980,   10.069632,    12.52429,    16.84938,    28.93875,    23.87398,    23.87398,    30.57583,        0.75,           2,         Inf,   0.2435877,         Inf,   0.2435877,    24.38879
        1917,      302.16,f_d13c_lin,f_gstar_f1980,   10.082640,    12.53674,    16.85415,    28.93272,    23.90564,    23.90564,    30.61636,        0.75,           2,         Inf,   0.2435798,         Inf,   0.2435798,    24.38880
        1918,      302.55,f_d13c_lin,f_gstar_f1980,   10.095315,    12.54886,    16.85880,    28.92685,    23.93650,    23.93650,    30.65588,        0.75,           2,         Inf,   0.2435720,         Inf,   0.2435720,    24.38881
        1919,      302.92,f_d13c_lin,f_gstar_f1980,   10.107333,    12.56035,    16.86320,    28.92130,    23.96578,    23.96578,    30.69337,        0.75,           2,         Inf,   0.2435644,         Inf,   0.2435644,    24.38881
        1920,      303.28,f_d13c_lin,f_gstar_f1980,   10.119019,    12.57153,    16.86747,    28.91591,    23.99427,    23.99427,    30.72985,        0.75,           2,         Inf,   0.2435569,         Inf,   0.2435569,    24.38882
        1921,      303.63,f_d13c_lin,f_gstar_f1980,   10.130373,    12.58239,    16.87162,    28.91069,    24.02197,    24.02197,    30.76531,        0.75,           2,         Inf,   0.2435494,         Inf,   0.2435494,    24.38883
        1922,      303.97,f_d13c_lin,f_gstar_f1980,   10.141397,    12.59294,    16.87564,    28.90563,    24.04888,    24.04888,    30.79976,        0.75,           2,         Inf,   0.2435421,         Inf,   0.2435421,    24.38883
        1923,      304.32,f_d13c_lin,f_gstar_f1980,   10.152739,    12.60379,    16.87977,    28.90044,    24.07658,    24.07658,    30.83522,        0.75,           2,         Inf,   0.2435344,         Inf,   0.2435344,    24.38884
        1924,      304.66,f_d13c_lin,f_gstar_f1980,   10.163751,    12.61432,    16.88378,    28.89541,    24.10349,    24.10349,    30.86967,        0.75,           2,         Inf,   0.2435267,         Inf,   0.2435267,    24.38885
        1925,      305.01,f_d13c_lin,f_gstar_f1980,   10.175079,    12.62515,    16.88789,    28.89024,    24.13119,    24.13119,    30.90514,        0.75,           2,         Inf,   0.2435188,         Inf,   0.2435188,    24.38886
        1926,      305.36,f_d13c_lin,f_gstar_f1980,   10.186402,    12.63598,    16.89200,    28.88508,    24.15889,    24.15889,    30.94060,        0.75,           2,         Inf,   0.2435107,         Inf,   0.2435107,    24.38887
        1927,      305.73,f_d13c_lin,f_gstar_f1980,   10.198364,    12.64743,    16.89634,    28.87965,    24.18817,    24.18817,    30.97809,        0.75,           2,         Inf,   0.2435019,         Inf,   0.2435019,    24.38887
        1928,      306.10,f_d13c_lin,f_gstar_f1980,   10.210319,    12.65886,    16.90067,    28.87423,    24.21746,    24.21746,    31.01558,        0.75,           2,         Inf,   0.2434931,         Inf,   0.2434931,    24.38888
        1929,      306.47,f_d13c_lin,f_gstar_f1980,   10.222267,    12.67029,    16.90499,    28.86883,    24.24674,    24.24674,    31.05307,        0.75,           2,         Inf,   0.2434841,         Inf,   0.2434841,    24.38889
        1930,      306.84,f_d13c_lin,f_gstar_f1980,   10.234208,    12.68171,    16.90930,    28.86344,    24.27602,    24.27602,    31.09056,        0.75,           2,         Inf,   0.2434750,         Inf,   0.2434750,    24.38890
        1931,      307.21,f_d13c_lin,f_gstar_f1980,   10.246141,    12.69313,    16.91360,    28.85807,    24.30531,    24.30531,    31.12805,        0.75,           2,         Inf,   0.2434657,         Inf,   0.2434657,    24.38891
        1932,      307.58,f_d13c_lin,f_gstar_f1980,   10.258068,    12.70453,    16.91790,    28.85271,    24.33459,    24.33459,    31.16554,        0.75,           2,         Inf,   0.2434563,         Inf,   0.2434563,    24.38892
        1933,      307.95,f_d13c_lin,f_gstar_f1980,   10.269987,    12.71593,    16.92218,    28.84737,    24.36388,    24.36388,    31.20303,        0.75,           2,         Inf,   0.2434467,         Inf,   0.2434467,    24.38893
        1934,      308.32,f_d13c_lin,f_gstar_f1980,   10.281899,    12.72733,    16.92646,    28.84204,    24.39316,    24.39316,    31.24052,        0.75,           2,         Inf,   0.2434370,         Inf,   0.2434370,    24.38894
        1935,      308.68,f_d13c_lin,f_gstar_f1980,   10.293481,    12.73841,    16.93062,    28.83687,    24.42165,    24.42165,    31.27700,        0.75,           2,         Inf,   0.2434274,         Inf,   0.2434274,    24.38895
        1936,      309.04,f_d13c_lin,f_gstar_f1980,   10.305058,    12.74948,    16.93477,    28.83171,    24.45015,    24.45015,    31.31348,        0.75,           2,         Inf,   0.2434177,         Inf,   0.2434177,    24.38896
        1937,      309.38,f_d13c_lin,f_gstar_f1980,   10.315984,    12.75993,    16.93868,    28.82685,    24.47706,    24.47706,    31.34793,        0.75,           2,         Inf,   0.2434084,         Inf,   0.2434084,    24.38897
        1938,      309.70,f_d13c_lin,f_gstar_f1980,   10.326263,    12.76976,    16.94235,    28.82229,    24.50239,    24.50239,    31.38035,        0.75,           2,         Inf,   0.2433995,         Inf,   0.2433995,    24.38898
        1939,      310.01,f_d13c_lin,f_gstar_f1980,   10.336215,    12.77928,    16.94591,    28.81788,    24.52692,    24.52692,    31.41176,        0.75,           2,         Inf,   0.2433909,         Inf,   0.2433909,    24.38898
        1940,      310.27,f_d13c_lin,f_gstar_f1980,   10.344558,    12.78726,    16.94888,    28.81420,    24.54750,    24.54750,    31.43811,        0.75,           2,         Inf,   0.2433835,         Inf,   0.2433835,    24.38899
        1941,      310.50,f_d13c_lin,f_gstar_f1980,   10.351936,    12.79432,    16.95151,    28.81094,    24.56571,    24.56571,    31.46141,        0.75,           2,         Inf,   0.2433770,         Inf,   0.2433770,    24.38900
        1942,      310.68,f_d13c_lin,f_gstar_f1980,   10.357707,    12.79984,    16.95357,    28.80839,    24.57995,    24.57995,    31.47965,        0.75,           2,         Inf,   0.2433718,         Inf,   0.2433718,    24.38900
        1943,      310.82,f_d13c_lin,f_gstar_f1980,   10.362195,    12.80413,    16.95516,    28.80642,    24.59104,    24.59104,    31.49384,        0.75,           2,         Inf,   0.2433678,         Inf,   0.2433678,    24.38901
        1944,      310.93,f_d13c_lin,f_gstar_f1980,   10.365721,    12.80750,    16.95642,    28.80486,    24.59974,    24.59974,    31.50498,        0.75,           2,         Inf,   0.2433646,         Inf,   0.2433646,    24.38901
        1945,      311.03,f_d13c_lin,f_gstar_f1980,   10.368926,    12.81057,    16.95756,    28.80345,    24.60766,    24.60766,    31.51511,        0.75,           2,         Inf,   0.2433617,         Inf,   0.2433617,    24.38901
