time,leaf.ca_conc,leaf.d13c,leaf.gstar,A,Acg,Ajg,Apg,cc,ci,ca,rd,lim,gi,gs,gb,g,d13c
        1946,      311.12,f_d13c_lin,f_gstar_f1980,   10.371809,    12.81333,    16.95858,    28.80218,    24.61478,    24.61478,    31.52423,        0.75,           2,         Inf,   0.2433590,         Inf,   0.2433590,    24.38902
        1947,      311.23,f_d13c_lin,f_gstar_f1980,   10.375333,    12.81670,    16.95984,    28.80064,    24.62349,    24.62349,    31.53538,        0.75,           2,         Inf,   0.2433558,         Inf,   0.2433558,    24.38902
        1948,      311.36,f_d13c_lin,f_gstar_f1980,   10.379497,    12.82068,    16.96132,    28.79881,    24.63378,    24.63378,    31.54855,        0.75,           2,         Inf,   0.2433520,         Inf,   0.2433520,    24.38902
        1949,      311.52,f_d13c_lin,f_gstar_f1980,   10.384620,    12.82558,    16.96314,    28.79656,    24.64644,    24.64644,    31.56476,        0.75,           2,         Inf,   0.2433473,         Inf,   0.2433473,    24.38903
        1950,      311.71,f_d13c_lin,f_gstar_f1980,   10.390702,    12.83140,    16.96529,    28.79389,    24.66148,    24.66148,    31.58402,        0.75,           2,         Inf,   0.2433416,         Inf,   0.2433416,    24.38903
        1951,      311.92,f_d13c_lin,f_gstar_f1980,   10.397423,    12.83783,    16.96768,    28.79095,    24.67810,    24.67810,    31.60529,        0.75,           2,         Inf,   0.2433353,         Inf,   0.2433353,    24.38904
        1952,      312.16,f_d13c_lin,f_gstar_f1980,   10.405100,    12.84517,    16.97040,    28.78759,    24.69710,    24.69710,    31.62961,        0.75,           2,         Inf,   0.2433281,         Inf,   0.2433281,    24.38905
        1953,      312.44,f_d13c_lin,f_gstar_f1980,   10.414053,    12.85373,    16.97357,    28.78368,    24.71926,    24.71926,    31.65798,        0.75,           2,         Inf,   0.2433196,         Inf,   0.2433196,    24.38905
        1954,      312.75,f_d13c_lin,f_gstar_f1980,   10.423961,    12.86321,    16.97707,    28.77936,    24.74380,    24.74380,    31.68939,        0.75,           2,         Inf,   0.2433101,         Inf,   0.2433101,    24.38906
        1955,      313.09,f_d13c_lin,f_gstar_f1980,   10.434822,    12.87360,    16.98091,    28.77464,    24.77071,    24.77071,    31.72384,        0.75,           2,         Inf,   0.2432995,         Inf,   0.2432995,    24.38907
        1956,      313.48,f_d13c_lin,f_gstar_f1980,   10.447273,    12.88551,    16.98531,    28.76923,    24.80158,    24.80158,    31.76336,        0.75,           2,         Inf,   0.2432873,         Inf,   0.2432873,    24.38909
        1957,      313.93,f_d13c_lin,f_gstar_f1980,   10.461629,    12.89924,    16.99037,    28.76301,    24.83721,    24.83721,    31.80896,        0.75,           2,         Inf,   0.2432730,         Inf,   0.2432730,    24.38910
        1958,      314.75,f_d13c_lin,f_gstar_f1980,   10.487763,    12.92424,    16.99955,    28.75173,    24.90211,    24.90211,    31.89204,        0.75,           2,         Inf,   0.2432465,         Inf,   0.2432465,    24.38913
        1959,      315.53,f_d13c_lin,f_gstar_f1980,   10.512589,    12.94798,    17.00826,    28.74106,    24.96386,    24.96386,    31.97108,        0.75,           2,         Inf,   0.2432207,         Inf,   0.2432207,    24.38915
        1960,      316.44,f_d13c_lin,f_gstar_f1980,   10.541514,    12.97565,    17.01838,    28.72869,    25.03589,    25.03589,    32.06328,        0.75,           2,         Inf,   0.2431898,         Inf,   0.2431898,    24.38918
        1961,      317.15,f_d13c_lin,f_gstar_f1980,   10.564051,    12.99721,    17.02623,    28.71910,    25.09210,    25.09210,    32.13522,        0.75,           2,         Inf,   0.2431653,         Inf,   0.2431653,    24.38921
        1962,      317.94,f_d13c_lin,f_gstar_f1980,   10.589098,    13.02116,    17.03495,    28.70848,    25.15463,    25.15463,    32.21527,        0.75,           2,         Inf,   0.2431373,         Inf,   0.2431373,    24.38923
        1963,      318.46,f_d13c_lin,f_gstar_f1980,   10.605567,    13.03692,    17.04066,    28.70152,    25.19580,    25.19580,    32.26796,        0.75,           2,         Inf,   0.2431187,         Inf,   0.2431187,    24.38925
